# Bundle file v0.3
59 9469
3.0559773063e+03 5.4777964494e-02 -1.0547685628e-01
9.9272619034e-01 1.1177022840e-01 4.4745134536e-02
2.1711420873e-02 -5.3176385866e-01 8.4661432354e-01
1.1842012170e-01 -8.3948473164e-01 -5.3032260004e-01
7.4856489703e+00 4.8594438169e+01 -6.6169538675e+01
3.0406612155e+03 7.5426453353e-02 -1.7727947831e-01
9.9259337161e-01 1.1283044127e-01 4.5029880736e-02
9.2546908942e-03 -4.3981715273e-01 8.9803965551e-01
1.2113112454e-01 -8.9097147187e-01 -4.3760380138e-01
7.5068512598e+00 5.3020422329e+01 -6.0665308758e+01
3.0378060618e+03 7.5337179779e-02 -2.1222831147e-01
9.9209122262e-01 1.1658328404e-01 4.6511760733e-02
-8.8237088782e-04 -3.6406884527e-01 9.3137162149e-01
1.2551584532e-01 -9.2404665130e-01 -3.6108663613e-01
7.7009768710e+00 5.6025730166e+01 -5.6067026877e+01
3.0174936869e+03 2.7864076048e-02 -8.3464069711e-02
9.9168457176e-01 1.1868109047e-01 4.9764534603e-02
-9.4987283337e-03 -3.1813736390e-01 9.4799704211e-01
1.2834128057e-01 -9.4058674053e-01 -3.1436459604e-01
7.9860038481e+00 5.6902196565e+01 -5.3094306108e+01
3.0190561876e+03 9.0450399543e-02 -1.3210576418e-01
9.9121692937e-01 1.3038338448e-01 2.2117232901e-02
9.8506404640e-03 -2.3957167788e-01 9.7082870582e-01
1.3187859501e-01 -9.6208397981e-01 -2.3875186275e-01
6.4373346249e+00 5.9100923986e+01 -4.8463173718e+01
3.0269490559e+03 9.5880670064e-02 -1.1892292185e-01
9.9134611853e-01 1.2679310428e-01 3.4005616854e-02
-1.4170157296e-02 -1.5417286362e-01 9.8794227299e-01
1.3050701097e-01 -9.7987460260e-01 -1.5104199170e-01
7.1590386506e+00 6.1479552110e+01 -4.3246867680e+01
3.0188258786e+03 6.6752652321e-02 -5.4996576376e-02
9.9362556468e-01 1.0948085974e-01 2.6873380184e-02
-1.4293356112e-02 -1.1410980698e-01 9.9336531645e-01
1.1182100510e-01 -9.8741728428e-01 -1.1181757248e-01
6.1083482740e+00 6.1625176765e+01 -4.0881611527e+01
3.0156706115e+03 1.2152500694e-01 -3.4800381335e-01
9.9493841313e-01 9.0951463240e-02 4.2724529380e-02
-4.1532701154e-02 -1.4957437918e-02 9.9902517976e-01
9.1501851408e-02 -9.9574299213e-01 -1.1104269604e-02
6.5032597086e+00 6.3506352801e+01 -3.4703136879e+01
2.9936401947e+03 9.1989415607e-02 -8.5634062546e-02
